number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
59,0.7269009371572226,2025-12-26 19:04:14.093995,2025-12-26 19:04:30.539797,0 days 00:00:16.445802,0.610679638606578,0.7752428658472068,0.8521657667853599,0.4052818234074728,0.01122694492036879,4,5,10,597,0.6109142052978187,2.8070082002312433,1.0954360974397412,0.6003671405079538,COMPLETE
60,0.7382427712026257,2025-12-26 19:04:30.541757,2025-12-26 19:04:38.101948,0 days 00:00:07.560191,0.6037411954570022,0.7618086389024149,0.828257919570831,0.43429822227273074,0.013964809687688533,4,5,10,572,0.38573943132131117,2.64375062351841,1.4764847893462152,0.645671784226543,COMPLETE
61,0.7371264774011091,2025-12-26 19:04:38.102946,2025-12-26 20:15:50.389361,0 days 01:11:12.286415,0.6588505513003412,0.7991571383724851,0.858591094834973,0.38281244075984144,0.012277152294817524,4,5,10,556,0.4484139909634185,2.844364183120825,1.431531003807637,0.6169427766424386,COMPLETE
62,0.7388009154462727,2025-12-26 20:15:50.433415,2025-12-26 20:16:05.406706,0 days 00:00:14.973291,0.6773304083357663,0.7366326109955292,0.8436035569035513,0.5054604936847595,0.010064232349614307,3,5,9,580,0.7513515790536377,2.9690798284304902,1.498865619246909,0.6126697532719835,COMPLETE
63,0.7380977773372014,2025-12-26 20:16:05.433743,2025-12-26 20:16:22.262861,0 days 00:00:16.829118,0.6755539186867896,0.7362195985567004,0.8368387766099343,0.28621021624760945,0.01027938502768183,4,5,9,578,0.5227489674638346,2.985462914370043,1.4712620916397166,0.6101588593484977,COMPLETE
64,0.7379098472263909,2025-12-26 20:16:22.268374,2025-12-26 20:16:35.058090,0 days 00:00:12.789716,0.6980853081597763,0.7195317097530984,0.8641692282648534,0.5014864744188795,0.011967080939621256,4,5,9,588,0.7261278038981389,2.690696729169932,1.4456045365201593,0.6200290007951368,COMPLETE
65,0.738469366967312,2025-12-26 20:16:35.062599,2025-12-26 20:16:47.857293,0 days 00:00:12.794694,0.615222421967144,0.7653856412562984,0.8427188470955183,0.4115814038485193,0.011108179282762384,3,5,10,560,0.3865809591162819,2.8823922417636108,1.470144165412381,0.6419306870336231,COMPLETE
66,0.7368207438651341,2025-12-26 20:16:47.859298,2025-12-26 20:17:00.299831,0 days 00:00:12.440533,0.7038879471772758,0.7687040419403162,0.8447838568286681,0.45177292449540546,0.013747135486808715,3,5,9,569,0.8052734969473544,2.883278395601355,1.393880405172893,0.6265283677121267,COMPLETE
67,0.7388255631346716,2025-12-26 20:17:00.301833,2025-12-26 20:17:11.569694,0 days 00:00:11.267861,0.6684087833573833,0.7852344728342657,0.8178344187523752,0.3007476195536144,0.010209127308950553,2,5,10,589,0.5958759720102931,2.78887395152567,1.4637575639154978,0.6111553438129378,COMPLETE
68,0.7354224530379886,2025-12-26 20:17:11.580247,2025-12-26 20:17:22.911322,0 days 00:00:11.331075,0.650384802004898,0.7829102475115022,0.8191284218523818,0.3120550152802118,0.010682413291933514,2,5,10,588,0.7155219917468176,2.781983433166557,1.3500886892252595,0.6104157893808275,COMPLETE
69,0.7330117746171173,2025-12-26 20:17:22.928936,2025-12-26 20:17:34.509395,0 days 00:00:11.580459,0.6680416858687104,0.7540389865387991,0.8054242119293743,0.26883477672654993,0.01011468303124998,2,5,10,599,0.6273546304403769,2.6126698350393847,1.2543062431016707,0.6384800929149692,COMPLETE
70,0.7379517860451166,2025-12-26 20:17:34.512384,2025-12-26 20:17:46.040084,0 days 00:00:11.527700,0.6393301318433178,0.74018414736502,0.7852492320384444,0.3528368243072373,0.012903142083036133,2,5,9,577,0.5224669291625005,2.928096262213011,1.461881673314803,0.6069058422961319,COMPLETE
71,0.7379942479730935,2025-12-26 20:17:46.043289,2025-12-26 20:17:57.073735,0 days 00:00:11.030446,0.6772846025217786,0.816035327179136,0.836314283441888,0.17010312934184063,0.014420511031597956,3,5,10,561,0.6124922237971601,2.527949547072266,1.4758636146593782,0.6233510160835006,COMPLETE
72,0.7369241607306536,2025-12-26 20:17:57.076279,2025-12-26 20:18:08.365211,0 days 00:00:11.288932,0.7010031199213308,0.7678155604112719,0.8204296222003681,0.5142893456169451,0.011555207682764601,3,5,9,535,0.3679383100887407,2.896415016466847,1.4239382438725923,0.6163008846018803,COMPLETE
73,0.7383277528968822,2025-12-26 20:18:08.366225,2025-12-26 20:18:20.960332,0 days 00:00:12.594107,0.6542969309754568,0.7895256995764679,0.8700748554359948,0.3791087752380811,0.01097906672299111,2,5,10,581,0.4758112983074725,2.7641666193582792,1.446912027159586,0.6296845060748993,COMPLETE
74,0.7380373174910211,2025-12-26 20:18:20.961826,2025-12-26 20:18:31.122796,0 days 00:00:10.160970,0.663731213932372,0.7834111246576677,0.881517509625973,0.25184521335518917,0.015393233350943052,3,4,9,570,0.8722346685120876,2.989360920396116,1.4673861863590871,0.6619991062548398,COMPLETE
75,0.7051818542290965,2025-12-26 20:18:31.125011,2025-12-26 20:18:45.012627,0 days 00:00:13.887616,0.7437609300759077,0.7675466909843724,0.8455627812426141,0.43558577297533335,0.012540141432023831,4,6,8,562,0.5651210456510726,2.46228938339131,0.8199106583559739,0.6056081010248143,COMPLETE
76,0.7382238700067016,2025-12-26 20:18:45.017628,2025-12-26 20:18:56.473549,0 days 00:00:11.455921,0.7158673573844518,0.7494903204357952,0.7956100970612731,0.4783877508976759,0.013733673164205672,2,4,10,594,0.6982745527353343,2.845282597016067,1.4820860475940665,0.6451712564548955,COMPLETE
77,0.7361922421121709,2025-12-26 20:18:56.475555,2025-12-26 20:19:08.092409,0 days 00:00:11.616854,0.6733960131952204,0.8577219180774506,0.8295505427258921,0.5461147416505268,0.010022032019555137,5,5,10,547,0.7790774850583826,2.692572092666898,1.3876497427369598,0.6173975214936721,COMPLETE
78,0.7372733324858106,2025-12-26 20:19:08.093915,2025-12-26 20:19:17.360552,0 days 00:00:09.266637,0.6829332291877545,0.7198264199332183,0.8126910614463959,0.17576399591686148,0.01667326821204827,3,4,9,534,0.4231524450108181,2.6080614869941496,1.4326979400336128,0.6311974298346269,COMPLETE
79,0.7376117102450024,2025-12-26 20:19:17.362558,2025-12-26 20:19:28.817652,0 days 00:00:11.455094,0.645447093951819,0.8111897472824556,0.7714833904892742,0.3229081516390815,0.010912113907449957,4,6,8,518,0.6088765381188882,2.9082521660419713,1.4137191873767636,0.6512929906735863,COMPLETE
80,0.7390653836104126,2025-12-26 20:19:28.818666,2025-12-26 20:19:38.704270,0 days 00:00:09.885604,0.694397038956254,0.8252190322002321,0.8554264310021202,0.4045184282352218,0.012020886839115107,3,4,7,582,0.47480358832584296,2.821643998936992,1.498787652018018,0.6382269107193295,COMPLETE
81,0.7389159597898155,2025-12-26 20:19:38.706604,2025-12-26 20:19:48.102648,0 days 00:00:09.396044,0.617850120278286,0.8236991169538349,0.841593966729801,0.40198256682544836,0.012301010131545028,3,4,7,585,0.48518357051089733,2.8151490288186998,1.499627151253566,0.6383671302226365,COMPLETE
82,0.7372182480360214,2025-12-26 20:19:48.105541,2025-12-26 20:19:57.766962,0 days 00:00:09.661421,0.6185508698181479,0.8231577403280698,0.6002876349734981,0.4026437422740527,0.011840859801270543,3,4,7,589,0.4709260196409661,2.805729531488356,1.4479568992650007,0.637319568807453,COMPLETE
83,0.7386451979595849,2025-12-26 20:19:57.769050,2025-12-26 20:20:07.155173,0 days 00:00:09.386123,0.6354464110631692,0.8311296949502336,0.8552778329756338,0.35823429601788864,0.012539571216438143,3,4,7,578,0.351594583058806,2.933401132555353,1.4988679736947996,0.6573258740706576,COMPLETE
84,0.7386370051762405,2025-12-26 20:20:07.159673,2025-12-26 20:20:16.256819,0 days 00:00:09.097146,0.6334357107332214,0.8351024586843786,0.8549528513630144,0.35658981603163875,0.013319821570435915,3,4,7,579,0.5429058281760524,2.9577860059145973,1.485375617223127,0.6239332410201344,COMPLETE
